"filename", "language", "YAML", "Markdown", "C++", "comment", "blank", "total"
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/session/session_types.hpp", "C++", 0, 0, 79, 59, 18, 156
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/session/session_user.hpp", "C++", 0, 0, 18, 83, 15, 116
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/shared/cmn_memory_config.hpp", "C++", 0, 0, 47, 80, 18, 145
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/shared/cmn_types.hpp", "C++", 0, 0, 9, 10, 6, 25
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/shared/cmn_utils.cpp", "C++", 0, 0, 24, 15, 7, 46
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/shared/cmn_utils.hpp", "C++", 0, 0, 13, 29, 8, 50
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/transport/transport_service.cpp", "C++", 0, 0, 127, 78, 45, 250
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/transport/transport_service.hpp", "C++", 0, 0, 44, 108, 25, 177
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/transport/transport_types.hpp", "C++", 0, 0, 50, 31, 19, 100
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/version.hpp", "C++", 0, 0, 12, 17, 5, 34
"Total", "-", 73, 102, 3479, 2861, 1184, 7699
